Protein ID,Entry Name,Gene,Protein,Protein name,Protein Length,Organism,Protein Existence,Protein Probability,Top Peptide Probability,PD1,CTRL,log2FC_PD1_vs_CTRL,time
O75251,NDUS7_HUMAN,NDUFS7,sp|O75251|NDUS7_HUMAN,"NADH dehydrogenase [ubiquinone] iron-sulfur protein 7, mitochondrial",213,Homo sapiens,1:Experimental evidence at protein level,1.0,0.999,14.536412790774454,14.530638291638638,0.005774499135815958,4 h
O75264,SIM24_HUMAN,SMIM24,sp|O75264|SIM24_HUMAN,Small integral membrane protein 24,130,Homo sapiens,2:Experimental evidence at transcript level,1.0,0.999,15.211743607430837,15.261588806127122,-0.049845198696285564,4 h
O75312,ZPR1_HUMAN,ZPR1,sp|O75312|ZPR1_HUMAN,Zinc finger protein ZPR1,459,Homo sapiens,1:Experimental evidence at protein level,1.0,0.999,16.3444864229472,16.33198165343545,0.012504769511750169,4 h
O75319,DUS11_HUMAN,DUSP11,sp|O75319|DUS11_HUMAN,RNA/RNP complex-1-interacting phosphatase,377,Homo sapiens,1:Experimental evidence at protein level,1.0,0.999,0.0,0.0,0.0,4 h
O75323,NIPS2_HUMAN,NIPSNAP2,sp|O75323|NIPS2_HUMAN,Protein NipSnap homolog 2,286,Homo sapiens,1:Experimental evidence at protein level,1.0,0.999,15.890779778301086,15.536552034423414,0.3542277438776722,4 h
O75340,PDCD6_HUMAN,PDCD6,sp|O75340|PDCD6_HUMAN,Programmed cell death protein 6,191,Homo sapiens,1:Experimental evidence at protein level,1.0,0.999,16.676799486645923,16.64458350791092,0.03221597873500315,4 h
O75347,TBCA_HUMAN,TBCA,sp|O75347|TBCA_HUMAN,Tubulin-specific chaperone A,108,Homo sapiens,1:Experimental evidence at protein level,1.0,0.999,18.407900431027606,17.882013837810778,0.5258865932168284,4 h
O75348,VATG1_HUMAN,ATP6V1G1,sp|O75348|VATG1_HUMAN,V-type proton ATPase subunit G 1,118,Homo sapiens,1:Experimental evidence at protein level,1.0,0.999,16.602318174121272,16.31863852612311,0.2836796479981629,4 h
O75351,VPS4B_HUMAN,VPS4B,sp|O75351|VPS4B_HUMAN,Vacuolar protein sorting-associated protein 4B,444,Homo sapiens,1:Experimental evidence at protein level,1.0,0.999,15.661566735171004,15.56973439897179,0.09183233619921438,4 h
O75362,ZN217_HUMAN,ZNF217,sp|O75362|ZN217_HUMAN,Zinc finger protein 217,1048,Homo sapiens,1:Experimental evidence at protein level,1.0,0.999,0.0,0.0,0.0,4 h
O75368,SH3L1_HUMAN,SH3BGRL,sp|O75368|SH3L1_HUMAN,Adapter SH3BGRL,114,Homo sapiens,1:Experimental evidence at protein level,1.0,0.999,16.3692490705235,15.890671317854444,0.47857775266905733,4 h
O75376,NCOR1_HUMAN,NCOR1,sp|O75376|NCOR1_HUMAN,Nuclear receptor corepressor 1,2440,Homo sapiens,1:Experimental evidence at protein level,1.0,0.999,15.160027149648682,15.10121368180404,0.05881346784464192,4 h
O75380,NDUS6_HUMAN,NDUFS6,sp|O75380|NDUS6_HUMAN,"NADH dehydrogenase [ubiquinone] iron-sulfur protein 6, mitochondrial",124,Homo sapiens,1:Experimental evidence at protein level,1.0,0.999,15.242264597339329,15.334202871764372,-0.09193827442504343,4 h
O75385,ULK1_HUMAN,ULK1,sp|O75385|ULK1_HUMAN,Serine/threonine-protein kinase ULK1,1050,Homo sapiens,1:Experimental evidence at protein level,0.9983,0.999,7.140011748881945,0.0,7.140011748881945,4 h
O75390,CISY_HUMAN,CS,sp|O75390|CISY_HUMAN,"Citrate synthase, mitochondrial",466,Homo sapiens,1:Experimental evidence at protein level,1.0,0.999,17.469069304379076,17.143207685697696,0.32586161868137964,4 h
O75391,SPAG7_HUMAN,SPAG7,sp|O75391|SPAG7_HUMAN,Sperm-associated antigen 7,227,Homo sapiens,1:Experimental evidence at protein level,1.0,0.999,14.884685617557682,15.26912811088711,-0.38444249332942704,4 h
O75394,RM33_HUMAN,MRPL33,sp|O75394|RM33_HUMAN,"39S ribosomal protein L33, mitochondrial",65,Homo sapiens,1:Experimental evidence at protein level,0.9719,0.999,0.0,13.668810163714348,-13.668810163714348,4 h
O75396,SC22B_HUMAN,SEC22B,sp|O75396|SC22B_HUMAN,Vesicle-trafficking protein SEC22b,215,Homo sapiens,1:Experimental evidence at protein level,1.0,0.999,16.202802659155914,16.31385089317136,-0.1110482340154455,4 h
O75400,PR40A_HUMAN,PRPF40A,sp|O75400|PR40A_HUMAN,Pre-mRNA-processing factor 40 homolog A,957,Homo sapiens,1:Experimental evidence at protein level,1.0,0.999,16.763042108343775,16.4792542980314,0.28378781031237565,4 h
O75420,GGYF1_HUMAN,GIGYF1,sp|O75420|GGYF1_HUMAN,GRB10-interacting GYF protein 1,1035,Homo sapiens,1:Experimental evidence at protein level,0.9868,0.9986,0.0,0.0,0.0,4 h
O75427,LRCH4_HUMAN,LRCH4,sp|O75427|LRCH4_HUMAN,Leucine-rich repeat and calponin homology domain-containing protein 4,683,Homo sapiens,1:Experimental evidence at protein level,1.0,0.999,0.0,14.724446705859839,-14.724446705859839,4 h
O75436,VP26A_HUMAN,VPS26A,sp|O75436|VP26A_HUMAN,Vacuolar protein sorting-associated protein 26A,327,Homo sapiens,1:Experimental evidence at protein level,1.0,0.999,15.981920632153182,15.719177322558615,0.26274330959456726,4 h
O75438,NDUB1_HUMAN,NDUFB1,sp|O75438|NDUB1_HUMAN,NADH dehydrogenase [ubiquinone] 1 beta subcomplex subunit 1,58,Homo sapiens,1:Experimental evidence at protein level,1.0,0.999,15.86954613646006,15.891146027844018,-0.021599891383957015,4 h
O75439,MPPB_HUMAN,PMPCB,sp|O75439|MPPB_HUMAN,Mitochondrial-processing peptidase subunit beta,489,Homo sapiens,1:Experimental evidence at protein level,1.0,0.999,16.471345132103934,16.379300729873588,0.09204440223034638,4 h
O75446,SAP30_HUMAN,SAP30,sp|O75446|SAP30_HUMAN,Histone deacetylase complex subunit SAP30,220,Homo sapiens,1:Experimental evidence at protein level,1.0,0.999,14.791292540783983,14.789263670610126,0.0020288701738575554,4 h
O75449,KTNA1_HUMAN,KATNA1,sp|O75449|KTNA1_HUMAN,Katanin p60 ATPase-containing subunit A1,491,Homo sapiens,1:Experimental evidence at protein level,1.0,0.999,6.893127563550827,6.929192279522187,-0.03606471597136007,4 h
O75475,PSIP1_HUMAN,PSIP1,sp|O75475|PSIP1_HUMAN,PC4 and SFRS1-interacting protein,530,Homo sapiens,1:Experimental evidence at protein level,1.0,0.999,17.022478685426243,16.715799865611658,0.3066788198145858,4 h
O75477,ERLN1_HUMAN,ERLIN1,sp|O75477|ERLN1_HUMAN,Erlin-1,348,Homo sapiens,1:Experimental evidence at protein level,1.0,0.999,0.0,15.073928201937463,-15.073928201937463,4 h
O75486,SUPT3_HUMAN,SUPT3H,sp|O75486|SUPT3_HUMAN,Transcription initiation protein SPT3 homolog,317,Homo sapiens,1:Experimental evidence at protein level,0.9971,0.9989,0.0,0.0,0.0,4 h
O75489,NDUS3_HUMAN,NDUFS3,sp|O75489|NDUS3_HUMAN,"NADH dehydrogenase [ubiquinone] iron-sulfur protein 3, mitochondrial",264,Homo sapiens,1:Experimental evidence at protein level,1.0,0.999,15.925663247847138,15.607356344386108,0.3183069034610302,4 h
O75494,SRS10_HUMAN,SRSF10,sp|O75494|SRS10_HUMAN,Serine/arginine-rich splicing factor 10,262,Homo sapiens,1:Experimental evidence at protein level,1.0,0.999,18.270253981096886,17.942690922829005,0.3275630582678808,4 h
O75496,GEMI_HUMAN,GMNN,sp|O75496|GEMI_HUMAN,Geminin,209,Homo sapiens,1:Experimental evidence at protein level,1.0,0.999,8.015827299763291,0.0,8.015827299763291,4 h
O75503,CLN5_HUMAN,CLN5,sp|O75503|CLN5_HUMAN,Ceroid-lipofuscinosis neuronal protein 5,358,Homo sapiens,1:Experimental evidence at protein level,0.9999,0.999,0.0,0.0,0.0,4 h
O75506,HSBP1_HUMAN,HSBP1,sp|O75506|HSBP1_HUMAN,Heat shock factor-binding protein 1,76,Homo sapiens,1:Experimental evidence at protein level,1.0,0.999,0.0,0.0,0.0,4 h
O75521,ECI2_HUMAN,ECI2,sp|O75521|ECI2_HUMAN,Enoyl-CoA delta isomerase 2,394,Homo sapiens,1:Experimental evidence at protein level,1.0,0.999,16.261122669722944,16.198937006707077,0.062185663015867476,4 h
O75525,KHDR3_HUMAN,KHDRBS3,sp|O75525|KHDR3_HUMAN,"KH domain-containing, RNA-binding, signal transduction-associated protein 3",346,Homo sapiens,1:Experimental evidence at protein level,1.0,0.999,15.191784148158224,15.16649253878387,0.02529160937435293,4 h
O75528,TADA3_HUMAN,TADA3,sp|O75528|TADA3_HUMAN,Transcriptional adapter 3,432,Homo sapiens,1:Experimental evidence at protein level,1.0,0.999,0.0,0.0,0.0,4 h
O75529,TAF5L_HUMAN,TAF5L,sp|O75529|TAF5L_HUMAN,TAF5-like RNA polymerase II p300/CBP-associated factor-associated factor 65 kDa subunit 5L,589,Homo sapiens,1:Experimental evidence at protein level,1.0,0.999,0.0,6.851444816570569,-6.851444816570569,4 h
O75530,EED_HUMAN,EED,sp|O75530|EED_HUMAN,Polycomb protein EED,441,Homo sapiens,1:Experimental evidence at protein level,1.0,0.999,16.065650345794495,15.681765308310737,0.3838850374837577,4 h
O75531,BAF_HUMAN,BANF1,sp|O75531|BAF_HUMAN,Barrier-to-autointegration factor,89,Homo sapiens,1:Experimental evidence at protein level,1.0,0.999,18.190160422261215,18.136187253207527,0.05397316905368754,4 h
O75533,SF3B1_HUMAN,SF3B1,sp|O75533|SF3B1_HUMAN,Splicing factor 3B subunit 1,1304,Homo sapiens,1:Experimental evidence at protein level,1.0,0.999,18.502247433325763,18.58472585737536,-0.08247842404959727,4 h
O75534,CSDE1_HUMAN,CSDE1,sp|O75534|CSDE1_HUMAN,Cold shock domain-containing protein E1,798,Homo sapiens,1:Experimental evidence at protein level,1.0,0.999,16.900938482474228,16.889295656089086,0.011642826385141802,4 h
O75554,WBP4_HUMAN,WBP4,sp|O75554|WBP4_HUMAN,WW domain-binding protein 4,376,Homo sapiens,1:Experimental evidence at protein level,1.0,0.999,14.753966299748594,14.5012944314471,0.25267186830149413,4 h
O75570,RF1M_HUMAN,MTRF1,sp|O75570|RF1M_HUMAN,"Peptide chain release factor 1, mitochondrial",445,Homo sapiens,1:Experimental evidence at protein level,0.9901,0.999,0.0,0.0,0.0,4 h
O75575,RPC9_HUMAN,CRCP,sp|O75575|RPC9_HUMAN,DNA-directed RNA polymerase III subunit RPC9,148,Homo sapiens,1:Experimental evidence at protein level,0.9999,0.999,0.0,0.0,0.0,4 h
O75586,MED6_HUMAN,MED6,sp|O75586|MED6_HUMAN,Mediator of RNA polymerase II transcription subunit 6,246,Homo sapiens,1:Experimental evidence at protein level,1.0,0.999,0.0,7.021349268653601,-7.021349268653601,4 h
O75607,NPM3_HUMAN,NPM3,sp|O75607|NPM3_HUMAN,Nucleoplasmin-3,178,Homo sapiens,1:Experimental evidence at protein level,1.0,0.999,17.028882223630355,17.219816456456243,-0.19093423282588873,4 h
O75608,LYPA1_HUMAN,LYPLA1,sp|O75608|LYPA1_HUMAN,Acyl-protein thioesterase 1,230,Homo sapiens,1:Experimental evidence at protein level,1.0,0.999,14.599537570475157,15.054945193361917,-0.45540762288676007,4 h
O75616,ERAL1_HUMAN,ERAL1,sp|O75616|ERAL1_HUMAN,"GTPase Era, mitochondrial",437,Homo sapiens,1:Experimental evidence at protein level,0.9998,0.9989,0.0,0.0,0.0,4 h
O75629,CREG1_HUMAN,CREG1,sp|O75629|CREG1_HUMAN,Protein CREG1,220,Homo sapiens,1:Experimental evidence at protein level,0.9998,0.999,6.946897619735916,13.603719179409303,-6.6568215596733875,4 h
O75643,U520_HUMAN,SNRNP200,sp|O75643|U520_HUMAN,U5 small nuclear ribonucleoprotein 200 kDa helicase,2136,Homo sapiens,1:Experimental evidence at protein level,1.0,0.999,17.01899789233235,16.82932437590727,0.18967351642508135,4 h
O75663,TIPRL_HUMAN,TIPRL,sp|O75663|TIPRL_HUMAN,TIP41-like protein,272,Homo sapiens,1:Experimental evidence at protein level,1.0,0.999,16.23471321321935,16.966271961917364,-0.7315587486980135,4 h
O75683,SURF6_HUMAN,SURF6,sp|O75683|SURF6_HUMAN,Surfeit locus protein 6,361,Homo sapiens,1:Experimental evidence at protein level,1.0,0.999,14.749999248685654,14.67007706774119,0.07992218094446457,4 h
O75688,PPM1B_HUMAN,PPM1B,sp|O75688|PPM1B_HUMAN,Protein phosphatase 1B,479,Homo sapiens,1:Experimental evidence at protein level,1.0,0.999,7.459918391881441,0.0,7.459918391881441,4 h
O75691,UTP20_HUMAN,UTP20,sp|O75691|UTP20_HUMAN,Small subunit processome component 20 homolog,2785,Homo sapiens,1:Experimental evidence at protein level,1.0,0.999,14.144242974543424,14.384024169986164,-0.23978119544274,4 h
O75694,NU155_HUMAN,NUP155,sp|O75694|NU155_HUMAN,Nuclear pore complex protein Nup155,1391,Homo sapiens,1:Experimental evidence at protein level,1.0,0.999,17.68746343137399,17.53159715851463,0.1558662728593596,4 h
O75695,XRP2_HUMAN,RP2,sp|O75695|XRP2_HUMAN,Protein XRP2,350,Homo sapiens,1:Experimental evidence at protein level,1.0,0.999,7.240022436383547,7.520342424790404,-0.28031998840685723,4 h
O75717,WDHD1_HUMAN,WDHD1,sp|O75717|WDHD1_HUMAN,WD repeat and HMG-box DNA-binding protein 1,1129,Homo sapiens,1:Experimental evidence at protein level,1.0,0.999,15.549733511503696,15.359793371165308,0.18994014033838802,4 h
O75718,CRTAP_HUMAN,CRTAP,sp|O75718|CRTAP_HUMAN,Cartilage-associated protein,401,Homo sapiens,1:Experimental evidence at protein level,1.0,0.999,8.018560142598705,15.949179976108029,-7.930619833509324,4 h
O75746,S2512_HUMAN,SLC25A12,sp|O75746|S2512_HUMAN,"Electrogenic aspartate/glutamate antiporter SLC25A12, mitochondrial",678,Homo sapiens,1:Experimental evidence at protein level,1.0,0.999,6.6403292088095816,14.212272499408137,-7.571943290598555,4 h
O75791,GRAP2_HUMAN,GRAP2,sp|O75791|GRAP2_HUMAN,GRB2-related adapter protein 2,330,Homo sapiens,1:Experimental evidence at protein level,1.0,0.999,16.23654640350297,15.091131262695143,1.1454151408078275,4 h
O75792,RNH2A_HUMAN,RNASEH2A,sp|O75792|RNH2A_HUMAN,Ribonuclease H2 subunit A,299,Homo sapiens,1:Experimental evidence at protein level,1.0,0.999,17.522972036458736,17.42822758533037,0.09474445112836705,4 h
O75794,CD123_HUMAN,CDC123,sp|O75794|CD123_HUMAN,Cell division cycle protein 123 homolog,336,Homo sapiens,1:Experimental evidence at protein level,1.0,0.999,15.000749067077162,15.597482921388501,-0.5967338543113385,4 h
O75817,POP7_HUMAN,POP7,sp|O75817|POP7_HUMAN,Ribonuclease P protein subunit p20,140,Homo sapiens,1:Experimental evidence at protein level,1.0,0.999,15.651539207931533,7.5408527254558,8.110686482475732,4 h
O75821,EIF3G_HUMAN,EIF3G,sp|O75821|EIF3G_HUMAN,Eukaryotic translation initiation factor 3 subunit G,320,Homo sapiens,1:Experimental evidence at protein level,1.0,0.999,16.6337859665671,16.655582604423003,-0.021796637855903356,4 h
O75822,EIF3J_HUMAN,EIF3J,sp|O75822|EIF3J_HUMAN,Eukaryotic translation initiation factor 3 subunit J,258,Homo sapiens,1:Experimental evidence at protein level,1.0,0.999,16.54494047367566,17.06433698016403,-0.5193965064883699,4 h
O75832,PSD10_HUMAN,PSMD10,sp|O75832|PSD10_HUMAN,26S proteasome non-ATPase regulatory subunit 10,226,Homo sapiens,1:Experimental evidence at protein level,1.0,0.999,16.720503578861777,17.072707961522887,-0.3522043826611103,4 h
O75843,AP1G2_HUMAN,AP1G2,sp|O75843|AP1G2_HUMAN,AP-1 complex subunit gamma-like 2,785,Homo sapiens,1:Experimental evidence at protein level,1.0,0.9984,7.141116762949524,0.0,7.141116762949524,4 h
O75844,FACE1_HUMAN,ZMPSTE24,sp|O75844|FACE1_HUMAN,CAAX prenyl protease 1 homolog,475,Homo sapiens,1:Experimental evidence at protein level,1.0,0.999,7.497865802057786,14.828948997925764,-7.331083195867977,4 h
O75874,IDHC_HUMAN,IDH1,sp|O75874|IDHC_HUMAN,Isocitrate dehydrogenase [NADP] cytoplasmic,414,Homo sapiens,1:Experimental evidence at protein level,1.0,0.999,15.601085369000252,15.694819790842965,-0.09373442184271319,4 h
O75879,GATB_HUMAN,GATB,sp|O75879|GATB_HUMAN,"Glutamyl-tRNA(Gln) amidotransferase subunit B, mitochondrial",557,Homo sapiens,1:Experimental evidence at protein level,1.0,0.999,0.0,7.10570621845222,-7.10570621845222,4 h
O75880,SCO1_HUMAN,SCO1,sp|O75880|SCO1_HUMAN,"Protein SCO1 homolog, mitochondrial",301,Homo sapiens,1:Experimental evidence at protein level,1.0,0.999,14.937365656502255,14.750129798163588,0.18723585833866707,4 h
O75884,RBBP9_HUMAN,RBBP9,sp|O75884|RBBP9_HUMAN,Serine hydrolase RBBP9,186,Homo sapiens,1:Experimental evidence at protein level,1.0,0.999,8.072341467695628,15.913816626692626,-7.841475158996998,4 h
O75886,STAM2_HUMAN,STAM2,sp|O75886|STAM2_HUMAN,Signal transducing adapter molecule 2,525,Homo sapiens,1:Experimental evidence at protein level,1.0,0.999,0.0,7.620865413625658,-7.620865413625658,4 h
O75896,TUSC2_HUMAN,TUSC2,sp|O75896|TUSC2_HUMAN,Tumor suppressor candidate 2,110,Homo sapiens,1:Experimental evidence at protein level,0.9998,0.999,7.717562522881081,7.284590483477768,0.43297203940331297,4 h
O75907,DGAT1_HUMAN,DGAT1,sp|O75907|DGAT1_HUMAN,Diacylglycerol O-acyltransferase 1,488,Homo sapiens,1:Experimental evidence at protein level,0.9998,0.999,0.0,0.0,0.0,4 h
O75915,PRAF3_HUMAN,ARL6IP5,sp|O75915|PRAF3_HUMAN,PRA1 family protein 3,188,Homo sapiens,1:Experimental evidence at protein level,1.0,0.999,15.583207570427536,15.111191513200485,0.47201605722705153,4 h
O75934,SPF27_HUMAN,BCAS2,sp|O75934|SPF27_HUMAN,Pre-mRNA-splicing factor SPF27,225,Homo sapiens,1:Experimental evidence at protein level,1.0,0.999,17.033612869620185,16.97788066535378,0.05573220426640546,4 h
O75935,DCTN3_HUMAN,DCTN3,sp|O75935|DCTN3_HUMAN,Dynactin subunit 3,186,Homo sapiens,1:Experimental evidence at protein level,1.0,0.999,0.0,0.0,0.0,4 h
O75937,DNJC8_HUMAN,DNAJC8,sp|O75937|DNJC8_HUMAN,DnaJ homolog subfamily C member 8,253,Homo sapiens,1:Experimental evidence at protein level,1.0,0.999,15.925620022494417,16.034706463897074,-0.10908644140265622,4 h
O75940,SPF30_HUMAN,SMNDC1,sp|O75940|SPF30_HUMAN,Survival of motor neuron-related-splicing factor 30,238,Homo sapiens,1:Experimental evidence at protein level,1.0,0.999,15.683460578646503,15.323772935747796,0.3596876428987077,4 h
O75947,ATP5H_HUMAN,ATP5PD,sp|O75947|ATP5H_HUMAN,"ATP synthase subunit d, mitochondrial",161,Homo sapiens,1:Experimental evidence at protein level,1.0,0.999,17.396775241036288,17.395548561365466,0.0012266796708217953,4 h
O75955,FLOT1_HUMAN,FLOT1,sp|O75955|FLOT1_HUMAN,Flotillin-1,427,Homo sapiens,1:Experimental evidence at protein level,1.0,0.999,15.405972046110717,15.231160640412568,0.1748114056981489,4 h
O75964,ATP5L_HUMAN,ATP5MG,sp|O75964|ATP5L_HUMAN,"ATP synthase subunit g, mitochondrial",103,Homo sapiens,1:Experimental evidence at protein level,1.0,0.999,16.602852364209873,16.991090261840434,-0.38823789763056027,4 h
O75976,CBPD_HUMAN,CPD,sp|O75976|CBPD_HUMAN,Carboxypeptidase D,1380,Homo sapiens,1:Experimental evidence at protein level,1.0,0.999,7.678757961522839,15.081683901098781,-7.402925939575942,4 h
O75995,SASH3_HUMAN,SASH3,sp|O75995|SASH3_HUMAN,SAM and SH3 domain-containing protein 3,380,Homo sapiens,1:Experimental evidence at protein level,1.0,0.999,15.659252120679223,15.71432325443741,-0.05507113375818662,4 h
O76003,GLRX3_HUMAN,GLRX3,sp|O76003|GLRX3_HUMAN,Glutaredoxin-3,335,Homo sapiens,1:Experimental evidence at protein level,1.0,0.999,16.9800099181681,16.666555197251128,0.31345472091697246,4 h
O76021,RL1D1_HUMAN,RSL1D1,sp|O76021|RL1D1_HUMAN,Ribosomal L1 domain-containing protein 1,490,Homo sapiens,1:Experimental evidence at protein level,1.0,0.999,16.783416165576917,16.654214764359807,0.12920140121710944,4 h
O76031,CLPX_HUMAN,CLPX,sp|O76031|CLPX_HUMAN,"ATP-dependent Clp protease ATP-binding subunit clpX-like, mitochondrial",633,Homo sapiens,1:Experimental evidence at protein level,1.0,0.999,14.99147915580244,14.878354302492113,0.1131248533103264,4 h
O76071,CIAO1_HUMAN,CIAO1,sp|O76071|CIAO1_HUMAN,Probable cytosolic iron-sulfur protein assembly protein CIAO1,339,Homo sapiens,1:Experimental evidence at protein level,1.0,0.999,15.520796036215328,15.322807463646182,0.19798857256914637,4 h
O76075,DFFB_HUMAN,DFFB,sp|O76075|DFFB_HUMAN,DNA fragmentation factor subunit beta,338,Homo sapiens,1:Experimental evidence at protein level,1.0,0.999,6.692530183006115,0.0,6.692530183006115,4 h
O76080,ZFAN5_HUMAN,ZFAND5,sp|O76080|ZFAN5_HUMAN,AN1-type zinc finger protein 5,213,Homo sapiens,1:Experimental evidence at protein level,1.0,0.999,0.0,6.009597974269064,-6.009597974269064,4 h
O76094,SRP72_HUMAN,SRP72,sp|O76094|SRP72_HUMAN,Signal recognition particle subunit SRP72,671,Homo sapiens,1:Experimental evidence at protein level,1.0,0.999,16.317117102636544,16.107515741285194,0.20960136135134988,4 h
O77932,DXO_HUMAN,DXO,sp|O77932|DXO_HUMAN,Decapping and exoribonuclease protein,396,Homo sapiens,1:Experimental evidence at protein level,0.9993,0.9989,0.0,0.0,0.0,4 h
O94768,ST17B_HUMAN,STK17B,sp|O94768|ST17B_HUMAN,Serine/threonine-protein kinase 17B,372,Homo sapiens,1:Experimental evidence at protein level,0.9991,0.9989,0.0,6.785357044304205,-6.785357044304205,4 h
O94776,MTA2_HUMAN,MTA2,sp|O94776|MTA2_HUMAN,Metastasis-associated protein MTA2,668,Homo sapiens,1:Experimental evidence at protein level,1.0,0.999,16.858426380898294,16.749078033572587,0.10934834732570664,4 h
O94782,UBP1_HUMAN,USP1,sp|O94782|UBP1_HUMAN,Ubiquitin carboxyl-terminal hydrolase 1,785,Homo sapiens,1:Experimental evidence at protein level,0.9987,0.9986,0.0,0.0,0.0,4 h
O94804,STK10_HUMAN,STK10,sp|O94804|STK10_HUMAN,Serine/threonine-protein kinase 10,968,Homo sapiens,1:Experimental evidence at protein level,1.0,0.999,7.262361418165044,14.39714375123891,-7.134782333073867,4 h
O94817,ATG12_HUMAN,ATG12,sp|O94817|ATG12_HUMAN,Ubiquitin-like protein ATG12,140,Homo sapiens,1:Experimental evidence at protein level,0.8975,0.9984,0.0,0.0,0.0,4 h
O94819,KBTBB_HUMAN,KBTBD11,sp|O94819|KBTBB_HUMAN,Kelch repeat and BTB domain-containing protein 11,623,Homo sapiens,1:Experimental evidence at protein level,1.0,0.999,7.44508978470432,14.165450613887874,-6.720360829183554,4 h
O94826,TOM70_HUMAN,TOMM70,sp|O94826|TOM70_HUMAN,Mitochondrial import receptor subunit TOM70,608,Homo sapiens,1:Experimental evidence at protein level,1.0,0.999,15.832622002110393,15.693626196242853,0.13899580586753935,4 h
O94830,DDHD2_HUMAN,DDHD2,sp|O94830|DDHD2_HUMAN,Phospholipase DDHD2,711,Homo sapiens,1:Experimental evidence at protein level,1.0,0.999,7.5146180724977425,7.539500054779278,-0.02488198228153582,4 h
O94874,UFL1_HUMAN,UFL1,sp|O94874|UFL1_HUMAN,E3 UFM1-protein ligase 1,794,Homo sapiens,1:Experimental evidence at protein level,1.0,0.999,17.28560903367468,16.904297807305312,0.38131122636936965,4 h
O94888,UBXN7_HUMAN,UBXN7,sp|O94888|UBXN7_HUMAN,UBX domain-containing protein 7,489,Homo sapiens,1:Experimental evidence at protein level,1.0,0.999,16.32764097137068,16.278685783636398,0.048955187734282646,4 h
O94900,TOX_HUMAN,TOX,sp|O94900|TOX_HUMAN,Thymocyte selection-associated high mobility group box protein TOX,526,Homo sapiens,1:Experimental evidence at protein level,1.0,0.999,15.733861631841396,15.194693778630938,0.5391678532104578,4 h
O94903,PLPHP_HUMAN,PLPBP,sp|O94903|PLPHP_HUMAN,Pyridoxal phosphate homeostasis protein,275,Homo sapiens,1:Experimental evidence at protein level,1.0,0.999,16.67686311171463,16.496015436668458,0.1808476750461736,4 h
O94905,ERLN2_HUMAN,ERLIN2,sp|O94905|ERLN2_HUMAN,Erlin-2,339,Homo sapiens,1:Experimental evidence at protein level,1.0,0.999,0.0,13.055549303133526,-13.055549303133526,4 h
O94906,PRP6_HUMAN,PRPF6,sp|O94906|PRP6_HUMAN,Pre-mRNA-processing factor 6,941,Homo sapiens,1:Experimental evidence at protein level,1.0,0.999,16.210189894710382,15.943561436266137,0.2666284584442451,4 h
O94913,PCF11_HUMAN,PCF11,sp|O94913|PCF11_HUMAN,Pre-mRNA cleavage complex 2 protein Pcf11,1555,Homo sapiens,1:Experimental evidence at protein level,1.0,0.999,15.212282958533915,15.019561702497072,0.19272125603684387,4 h
O94915,FRYL_HUMAN,FRYL,sp|O94915|FRYL_HUMAN,Protein furry homolog-like,3013,Homo sapiens,1:Experimental evidence at protein level,1.0,0.999,7.163308698012884,7.126773446103858,0.036535251909025845,4 h
O94919,ENDD1_HUMAN,ENDOD1,sp|O94919|ENDD1_HUMAN,Endonuclease domain-containing 1 protein,500,Homo sapiens,1:Experimental evidence at protein level,1.0,0.999,15.151322086736354,14.831691337356965,0.31963074937938885,4 h
O94925,GLSK_HUMAN,GLS,sp|O94925|GLSK_HUMAN,"Glutaminase kidney isoform, mitochondrial",669,Homo sapiens,1:Experimental evidence at protein level,1.0,0.999,6.544473353938804,6.879391064976075,-0.33491771103727164,4 h
O94927,HAUS5_HUMAN,HAUS5,sp|O94927|HAUS5_HUMAN,HAUS augmin-like complex subunit 5,633,Homo sapiens,1:Experimental evidence at protein level,1.0,0.999,0.0,14.422819910731258,-14.422819910731258,4 h
O94953,KDM4B_HUMAN,KDM4B,sp|O94953|KDM4B_HUMAN,Lysine-specific demethylase 4B,1096,Homo sapiens,1:Experimental evidence at protein level,1.0,0.9989,7.002869153904348,7.625237983869353,-0.622368829965005,4 h
O94992,HEXI1_HUMAN,HEXIM1,sp|O94992|HEXI1_HUMAN,Protein HEXIM1,359,Homo sapiens,1:Experimental evidence at protein level,1.0,0.999,16.49250080039775,16.333251408231565,0.15924939216618483,4 h
O95059,RPP14_HUMAN,RPP14,sp|O95059|RPP14_HUMAN,Ribonuclease P protein subunit p14,124,Homo sapiens,1:Experimental evidence at protein level,0.9999,0.9986,0.0,0.0,0.0,4 h
O95067,CCNB2_HUMAN,CCNB2,sp|O95067|CCNB2_HUMAN,G2/mitotic-specific cyclin-B2,398,Homo sapiens,1:Experimental evidence at protein level,1.0,0.999,6.698208670864647,0.0,6.698208670864647,4 h
O95070,YIF1A_HUMAN,YIF1A,sp|O95070|YIF1A_HUMAN,Protein YIF1A,293,Homo sapiens,1:Experimental evidence at protein level,1.0,0.999,0.0,7.521220214191445,-7.521220214191445,4 h
O95139,NDUB6_HUMAN,NDUFB6,sp|O95139|NDUB6_HUMAN,NADH dehydrogenase [ubiquinone] 1 beta subcomplex subunit 6,128,Homo sapiens,1:Experimental evidence at protein level,1.0,0.999,14.463995296913003,15.673461859882632,-1.209466562969629,4 h
